Coming_to_believe,Event,Change_of_state_scenario
Cause_change_of_position_on_a_scale,Transitive_action,Objective_influence
Food_gathering,Agriculture,Attempt_obtain_food_scenario
Exhaust_resource,Using,Intentionally_affect
Activity_finish,Process_end,Process
Attaching,Intentionally_affect,Transitive_action
Communication_response,Response,Eventive_affecting
Hunting_scenario,Attempt_obtain_food_scenario,Attempting_scenario
Social_connection,Relation_between_individuals,Relation
Scouring,Scrutinizing_for,Scrutiny
Summarizing,Communication,Cause_to_perceive
Attempt_suasion,Attempt,Attempting_scenario
Assistance,Intentionally_act,Event
Misdeed,Event,Change_of_state_scenario
Ruling_legally,Intentionally_act,Event
Using,Intentionally_affect,Transitive_action
Cause_to_be_dry,Transitive_action,Objective_influence
Name_conferral,Intentionally_act,Event
Institutions,Organization,Aggregate
Impact,Cause_impact,Transitive_action
Visit_host_departure,Visitor_and_host,Visiting_scenario
Enforcing,Execute_plan,Intentionally_act
Container_focused_placing,Transitive_action,Objective_influence
Supporting,Assistance,Intentionally_act
Releasing,Intentionally_affect,Transitive_action
Manipulation,Intentionally_affect,Transitive_action
Relational_natural_features,Natural_features,Locale
Immobilization,Intentionally_affect,Transitive_action
Change_posture,Intentionally_act,Event
Sign_agreement,Text_creation,Intentionally_create
Cause_to_be_wet,Transitive_action,Objective_influence
Rotting,Event,Change_of_state_scenario
Choosing,Intentionally_act,Event
Avoiding,Intentionally_act,Event
Communication_noise,Communication,Cause_to_perceive
Text_creation,Intentionally_create,Intentionally_act
Front_for,Intentionally_act,Event
Hit_target,Intentionally_affect,Transitive_action
Suspiciousness,Social_behavior_evaluation,Gradable_attributes
Clemency,Intentionally_act,Event
Part_edge,Part_whole,Part_piece
Processing_materials,Intentionally_affect,Transitive_action
Operate_vehicle,Operating_a_system,Using
Gesture,Communication,Cause_to_perceive
Seeking_to_achieve,Working_on,Attempt
Firing,Intentionally_affect,Transitive_action
Travel,Self_motion,Motion
Touring,Perception_active,Perception
Court_examination,Trial,Criminal_process
Pre_receiving,Receiving_scenario,Getting_scenario
Heralding,Intentionally_act,Event
Architectural_part,Shaped_part,Part_whole
Corroding_caused,Transitive_action,Objective_influence
Compliance,Social_behavior_evaluation,Gradable_attributes
Quitting_a_place,Self_motion,Motion
Earnings_and_losses,Commerce_collect,Getting
Strictness,Social_interaction_evaluation,Social_behavior_evaluation
Cause_to_continue,Transitive_action,Objective_influence
Change_tool,Intentionally_act,Event
Ambient_temperature,Temperature,Measurable_attributes
Seeking,Seeking_to_achieve,Working_on
Death,Cycle_of_life_and_death,Cycle_of_existence_scenario
Emotions_of_mental_activity,Emotions_by_stimulus,Emotions
Render_nonfunctional,Transitive_action,Objective_influence
Being_operational,Capability,Possibility
Cause_to_perceive,Intentionally_affect,Transitive_action
Region_with_portal,Bounded_region,Image_schema
Examination,Intentionally_act,Event
Achieving_first,Intentionally_create,Intentionally_act
Aging,Eventive_affecting,Event
Dominate_competitor,Be_in_control,Control
Emotions_success_or_failure,Emotions_by_stimulus,Emotions
Substance,Physical_entity,Entity
Imprisonment,Inhibit_movement,Intentionally_affect
Talking_into,Manipulate_into_doing,Intentionally_affect
Dispersal,Placing,Transitive_action
